Rao,راوء,Rajpoot
Meer,میر,Rajpoot
Abbasi,عبّاسی,Rajpoot
Kapoor,کپور,Rajpoot
Tanoli,تنولی,Rajpoot
Chakarwarti,چکرورتی,Rajpoot
Karal,کرال,Rajpoot
Solangi,سلنگی,Rajpoot
Bhandari,بھنڈاری,Rajpoot
Ghumman,گھمن,Rajpoot
Wasan,وسان,Rajpoot
Kattaria,کٹاریہ,Rajpoot
Jaspaal,جسپال,Rajpoot
Gondal,گوندل,Rajpoot
Bharwana,بھروانہ,Rajpoot
Junejo,جونیجو,Rajpoot
Kaanjo,کانجو,Rajpoot
Jaam ,جام,Rajpoot
Luk,لک,Rajpoot
Maneka,مانیکا,Rajpoot
Bhomlah,بھوملہ,Rajpoot
Bajwah,باجوہ,Rajpoot
Memon,میمن,Rajpoot
Dogar,ڈوگر,Rajpoot
Arbab,ارباب,Rajpoot
Thakur,ٹھاکر,Rajpoot
Mirza,مرزا,Rajpoot
Sardar,سردار,Rajpoot
Meher,مہر,Rajpoot
Sultan,سلطان,Rajpoot
Rajan,راجن,Rajpoot
Bhaatiya,بھاٹیا,Rajpoot
Baghyal,بگھیال,Rajpoot
Bhochra,بھوچرہ,Rajpoot
Baryah,بریاہ,Rajpoot
Badhan,بدھن,Rajpoot
Bhatti,بھٹی,Rajpoot
Panor,پنور,Rajpoot
Panwaar,پنوار,Rajpoot
Joiya,جوئیہ,Rajpoot
Tanwar,تنوار,Rajpoot
Chohan,چوہان,Rajpoot
Mandahar,منداہار,Rajpoot
Pandeer,پنڈیر,Rajpoot
Rawat,راوت,Rajpoot
Gorwa/ Gor,گوروا/ گور,Rajpoot
Jaato,جاتو,Rajpoot
Bagrri,باگڑی,Rajpoot
Ranghar,رانگھڑ,Rajpoot
Barya,باریہ,Rajpoot
Rathor,راٹھور,Rajpoot
Bar Gojar,بار گوجر,Rajpoot
Sulehria,سلہریا,Rajpoot
Wattoo,وٹّو,Rajpoot
Chib,چب,Rajpoot
Dhaya,ڈھایا,Rajpoot
Ranjha,رانجھا,Rajpoot
Bhatti,بھٹی,Rajpoot
Rathore,راٹھور,Rajpoot
Toor,طور,Rajpoot
Chadhar,چدھڑ,Rajpoot
Naru,نارو,Rajpoot
Joiya,جوئیہ,Rajpoot
Siyal,سیال,Rajpoot
Kharal,کھرل,Rajpoot
Minhas,منہاس,Rajpoot
Kaliyar,کلیار,Rajpoot
Janjua,جنجوعہ,Rajpoot
Twana,ٹوانہ,Rajpoot
Khachi,کھچی,Rajpoot
Manj,منج,Rajpoot
Dhadhi,ڈھڈی,Rajpoot
Panwar,پنوار,Rajpoot
Tomer,تومر,Rajpoot
Yadu,یادو,Rajpoot
Khokhar,کھوکھر,Rajpoot
Dogar,ڈوگر,Rajpoot
Chohan,چوہان,Rajpoot
Bagri,باگڑی,Rajpoot
Binias,بئنیس,Rajpoot
Tarar,تارڑ,Rajpoot
Rawat,راوت,Rajpoot
Mekan,میکن,Rajpoot
Nay pal,نے پال,Rajpoot
Raathi,راٹھی,Rajpoot
Dharewal,دھاریوال,Rajpoot
Alokh,آلوکھ,Rajpoot
Dhamial,دھمیال,Rajpoot
Araein,آرائیں,
Ambalwi,انبالوی,Araein
Jalndhri,جالندھری,Araein
Mehar,مہر,Araein
Gordaspuri,گرداسپوری,Araein
Patiyalwi,پٹیالوی,Araein
Amratasri,امرتسری,Araein
Bhutto,بھٹو,Araein
Mian,میاں,Araein
Malik,ملک,Araein
Kashmiri,کشمیری,
Meer,میر,Kashmiri
Khawaja,خواجہ,Kashmiri
Lone,لون,Kashmiri
Dar,ڈار,Kashmiri
Butt,بٹ,Kashmiri
Rathore,راٹھور,Kashmiri
Banday,بانڈے,Kashmiri
Sheikh,شیخ,Kashmiri
Wani,وانی ,Kashmiri
Malik,ملک,Kashmiri
,,
Gujjar,گجر,
Khatana,کھٹانہ,Gujjar
Bajar,بجاڑ,Gujjar
Cheechi,چیچی,Gujjar
Kalas,کالس,Gujjar
Phamgaray,پھامگڑے,Gujjar
Paswaal,پسوال,Gujjar
Pandya,پنڈیا,Gujjar
Pasariye,پساریے,Gujjar
Pour,پور,Gujjar
Pashkar,پشکر,Gujjar
Parihaar,پریہار,Gujjar
Phomla,پھوملہ,Gujjar
Patel,پٹیل,Gujjar
Chandel,چندیل,Gujjar
Chokar,چھوکر,Gujjar
Chaal,چال,Gujjar
Chambar,چھمبر,Gujjar
Charan,چرن,Gujjar
Dhakar,دھکڑ,Gujjar
Ralaetay,رلائٹے,Gujjar
Raathi,راٹھی,Gujjar
Raghoo,راگھو,Gujjar
Topaa,ٹوپہ,Gujjar
Thekar,ٹھیکر,Gujjar
